model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
K Nearest Neighbors,0,0,0,0,0,0,17,euclidean,0,0,0,0,0,0.95,0.948,0.95,0.949,0.001

K Nearest Neighbors,0,0,0,0,0,0,17,manhattan,0,0,0,0,0,0.956,0.955,1.0,1.0,0.001

K Nearest Neighbors,0,0,0,0,0,0,17,chebyshev,0,0,0,0,0,0.944,0.941,0.925,0.921,0.001

K Nearest Neighbors,0,0,0,0,0,0,18,minkowski,0,0,0,0,0,0.956,0.955,1.0,1.0,0.00096

K Nearest Neighbors,0,0,0,0,0,0,18,euclidean,0,0,0,0,0,0.975,0.975,0.925,0.919,0.00103

K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,0.975,0.975,0.975,0.974,0.00164

K Nearest Neighbors,0,0,0,0,0,0,18,chebyshev,0,0,0,0,0,0.956,0.955,0.975,0.974,0.002

K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,0.944,0.941,0.975,0.974,0.00104

K Nearest Neighbors,0,0,0,0,0,0,19,euclidean,0,0,0,0,0,0.956,0.955,0.925,0.922,0.001

K Nearest Neighbors,0,0,0,0,0,0,19,manhattan,0,0,0,0,0,0.956,0.955,1.0,1.0,0.00216

K Nearest Neighbors,0,0,0,0,0,0,19,chebyshev,0,0,0,0,0,0.944,0.941,0.95,0.949,0.001

K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,0.969,0.968,0.95,0.947,0.001

K Nearest Neighbors,0,0,0,0,0,0,20,euclidean,0,0,0,0,0,0.969,0.968,0.95,0.947,0.001

K Nearest Neighbors,0,0,0,0,0,0,20,manhattan,0,0,0,0,0,0.962,0.961,1.0,1.0,0.001

K Nearest Neighbors,0,0,0,0,0,0,20,chebyshev,0,0,0,0,0,0.962,0.962,0.925,0.918,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.956,0.955,0.95,0.948,0.004

SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,poly,0.975,0.975,1.0,1.0,0.001

SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,sigmoid,0.75,0.643,0.75,0.643,0.00262

SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,linear,0.769,0.668,0.675,0.544,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,rbf,0.962,0.961,0.95,0.948,0.001

SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,poly,0.981,0.981,0.975,0.975,0.00145

SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,sigmoid,0.769,0.668,0.675,0.544,0.00104

SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,linear,0.925,0.92,0.975,0.975,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,rbf,0.975,0.975,0.95,0.948,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,poly,0.988,0.987,1.0,1.0,0.00204

SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,sigmoid,0.75,0.643,0.75,0.643,0.00204

SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,linear,0.931,0.927,0.975,0.975,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,rbf,0.962,0.961,1.0,1.0,0.001

SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,poly,0.994,0.994,0.975,0.974,0.00101

SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,sigmoid,0.744,0.634,0.775,0.677,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,linear,0.944,0.941,0.925,0.923,0.001

SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,rbf,0.962,0.961,0.975,0.975,0.00194

SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,poly,0.994,0.994,0.975,0.974,0.00292

SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,sigmoid,0.738,0.626,0.8,0.711,0.00241

SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,linear,0.956,0.955,0.95,0.948,0.00251

SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,rbf,0.962,0.962,1.0,1.0,0.00303

SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,poly,0.994,0.994,0.95,0.949,0.00204

SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,sigmoid,0.738,0.626,0.8,0.711,0.00256

SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,linear,0.95,0.948,0.95,0.948,0.00151

SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,rbf,0.975,0.975,0.95,0.947,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,poly,0.994,0.994,0.975,0.974,0.00197

SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,sigmoid,0.756,0.651,0.725,0.609,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,linear,0.962,0.961,0.9,0.891,0.00304

SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,rbf,0.969,0.968,0.975,0.974,0.00204

SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,poly,0.994,0.994,1.0,1.0,0.002

SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,sigmoid,0.725,0.62,0.775,0.699,0.00256

SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,linear,0.95,0.948,0.95,0.947,0.00352

SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,rbf,0.975,0.975,1.0,1.0,0.00231

SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,poly,0.994,0.994,0.975,0.975,0.00201

SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,sigmoid,0.75,0.643,0.75,0.643,0.00203

SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,linear,0.956,0.955,0.95,0.948,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,rbf,0.975,0.974,0.95,0.949,0.00097

SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,poly,0.988,0.987,1.0,1.0,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,sigmoid,0.738,0.631,0.775,0.677,0.003

SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,linear,0.95,0.948,0.95,0.949,0.003

SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,rbf,0.975,0.975,0.925,0.919,0.00351

