model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
K Nearest Neighbors,0,0,0,0,0,0,17,euclidean,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04787
K Nearest Neighbors,0,0,0,0,0,0,17,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04887
K Nearest Neighbors,0,0,0,0,0,0,17,chebyshev,0,0,0,0,0,1.0,1.0,0.999,0.999,0.04584
K Nearest Neighbors,0,0,0,0,0,0,18,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.03886
K Nearest Neighbors,0,0,0,0,0,0,18,euclidean,0,0,0,0,0,0.999,0.999,0.997,0.997,0.04388
K Nearest Neighbors,0,0,0,0,0,0,18,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.06882
K Nearest Neighbors,0,0,0,0,0,0,18,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,19,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05286
K Nearest Neighbors,0,0,0,0,0,0,19,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05288
K Nearest Neighbors,0,0,0,0,0,0,19,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04688
K Nearest Neighbors,0,0,0,0,0,0,19,chebyshev,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04588
K Nearest Neighbors,0,0,0,0,0,0,20,minkowski,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04388
K Nearest Neighbors,0,0,0,0,0,0,20,euclidean,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05585
K Nearest Neighbors,0,0,0,0,0,0,20,manhattan,0,0,0,0,0,1.0,1.0,1.0,1.0,0.04591
K Nearest Neighbors,0,0,0,0,0,0,20,chebyshev,0,0,0,0,0,0.999,0.999,0.999,0.999,0.04787
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,rbf,0.998,0.998,0.999,0.999,0.19646
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,poly,0.976,0.976,0.977,0.977,0.26332
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,sigmoid,0.998,0.998,0.999,0.999,0.30024
SVC,0,0,0,0,0,0,0,0,0,0,0.1,0,linear,1.0,1.0,1.0,1.0,0.21247
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,rbf,0.998,0.998,0.998,0.998,0.12367
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,poly,0.979,0.979,0.981,0.981,0.24132
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,sigmoid,0.998,0.998,0.999,0.999,0.21243
SVC,0,0,0,0,0,0,0,0,0,0,0.2,0,linear,1.0,1.0,1.0,1.0,0.15362
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,rbf,1.0,1.0,1.0,1.0,0.10169
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,poly,0.981,0.981,0.984,0.984,0.35705
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,sigmoid,0.997,0.997,0.999,0.999,0.16955
SVC,0,0,0,0,0,0,0,0,0,0,0.3,0,linear,1.0,1.0,1.0,1.0,0.13464
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,rbf,1.0,1.0,1.0,1.0,0.09375
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,poly,0.984,0.984,0.985,0.985,0.19152
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,sigmoid,0.999,0.999,0.997,0.997,0.08377
SVC,0,0,0,0,0,0,0,0,0,0,0.4,0,linear,1.0,1.0,1.0,1.0,0.1107
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,rbf,1.0,1.0,1.0,1.0,0.07982
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,poly,0.989,0.989,0.99,0.99,0.19452
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,sigmoid,0.998,0.998,0.996,0.996,0.11968
SVC,0,0,0,0,0,0,0,0,0,0,0.5,0,linear,1.0,1.0,1.0,1.0,0.09774
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,rbf,1.0,1.0,1.0,1.0,0.07683
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,poly,0.992,0.992,0.995,0.995,0.1875
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,sigmoid,0.998,0.998,0.997,0.997,0.09279
SVC,0,0,0,0,0,0,0,0,0,0,0.6,0,linear,1.0,1.0,1.0,1.0,0.08279
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,rbf,1.0,1.0,1.0,1.0,0.06682
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,poly,0.992,0.992,0.993,0.993,0.19747
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,sigmoid,0.998,0.998,0.998,0.998,0.06682
SVC,0,0,0,0,0,0,0,0,0,0,0.7,0,linear,1.0,1.0,1.0,1.0,0.07277
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,rbf,1.0,1.0,1.0,1.0,0.06981
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,poly,0.993,0.993,0.993,0.993,0.17151
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,sigmoid,0.998,0.998,1.0,1.0,0.06482
SVC,0,0,0,0,0,0,0,0,0,0,0.8,0,linear,1.0,1.0,1.0,1.0,0.06582
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,rbf,1.0,1.0,1.0,1.0,0.0648
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,poly,0.993,0.993,0.993,0.993,0.18151
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,sigmoid,0.998,0.998,0.998,0.998,0.06383
SVC,0,0,0,0,0,0,0,0,0,0,0.9,0,linear,1.0,1.0,1.0,1.0,0.06483
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,rbf,1.0,1.0,1.0,1.0,0.05688
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,poly,0.993,0.993,0.994,0.994,0.18251
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,sigmoid,0.998,0.998,0.998,0.998,0.05788
SVC,0,0,0,0,0,0,0,0,0,0,1.0,0,linear,1.0,1.0,1.0,1.0,0.08075
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,rbf,1.0,1.0,1.0,1.0,0.06978
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,poly,0.992,0.992,0.995,0.995,0.1745
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,sigmoid,0.998,0.998,0.999,0.999,0.06682
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,linear,1.0,1.0,1.0,1.0,0.05785
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,rbf,1.0,1.0,1.0,1.0,0.05688
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,poly,0.993,0.993,0.993,0.993,0.16257
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,sigmoid,0.998,0.998,0.998,0.998,0.06183
SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,linear,1.0,1.0,1.0,1.0,0.05582
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,rbf,1.0,1.0,1.0,1.0,0.05784
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,poly,0.993,0.993,0.992,0.992,0.16755
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,sigmoid,0.998,0.998,0.998,0.998,0.05585
SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,linear,1.0,1.0,1.0,1.0,0.04791
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,rbf,1.0,1.0,1.0,1.0,0.0748
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,poly,0.993,0.993,0.994,0.994,0.14258
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,sigmoid,0.998,0.998,0.998,0.998,0.05685
SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,linear,1.0,1.0,1.0,1.0,0.06084
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,rbf,1.0,1.0,1.0,1.0,0.05888
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,poly,0.994,0.994,0.993,0.993,0.1516
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,sigmoid,0.998,0.998,0.997,0.997,0.0608
SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,linear,1.0,1.0,1.0,1.0,0.06388
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,rbf,1.0,1.0,1.0,1.0,0.04987
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,poly,0.993,0.993,0.993,0.993,0.1496
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,sigmoid,0.998,0.997,0.999,0.999,0.05482
SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,linear,1.0,1.0,1.0,1.0,0.06283
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,rbf,1.0,1.0,1.0,1.0,0.05186
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,poly,0.994,0.994,0.995,0.995,0.18447
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,sigmoid,0.997,0.997,0.999,0.999,0.0519
SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,linear,1.0,1.0,1.0,1.0,0.06084
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,rbf,1.0,1.0,1.0,1.0,0.05589
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,poly,0.994,0.994,0.995,0.995,0.14661
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,sigmoid,0.997,0.997,0.998,0.998,0.0509
SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,linear,1.0,1.0,1.0,1.0,0.05781
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,rbf,1.0,1.0,1.0,1.0,0.04488
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,poly,0.994,0.994,0.992,0.992,0.15861
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,sigmoid,0.997,0.997,0.998,0.998,0.04784
SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,linear,1.0,1.0,1.0,1.0,0.04887
Decision Tree,gini,1,2,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00499
Decision Tree,gini,1,2,auto,0,0,0,0,0,0,0,0,0,0.93,0.93,0.93,0.93,0.00299
Decision Tree,gini,1,2,sqrt,0,0,0,0,0,0,0,0,0,0.862,0.862,0.864,0.864,0.00303
Decision Tree,gini,1,2,log2,0,0,0,0,0,0,0,0,0,0.862,0.862,0.862,0.862,0.002
Decision Tree,gini,1,3,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00598
Decision Tree,gini,1,3,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002
Decision Tree,gini,1,3,sqrt,0,0,0,0,0,0,0,0,0,0.863,0.863,0.86,0.86,0.00296
Decision Tree,gini,1,3,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002
